iter	Passed	Remaining
0	2	2580
1	4	2391
2	6	2222
3	8	2161
4	10	2080
5	12	2051
6	14	2029
7	16	2001
8	18	2023
9	20	2012
10	22	2004
11	24	2007
12	26	1999
13	28	1998
14	30	1993
15	32	2011
16	34	2011
17	36	2000
18	38	1999
19	40	1981
20	42	1968
21	43	1930
22	45	1912
23	46	1909
24	49	1911
25	51	1910
26	53	1916
27	55	1918
28	57	1912
29	59	1909
30	60	1905
31	62	1896
32	64	1898
33	66	1894
34	68	1886
35	70	1880
36	72	1877
37	74	1876
38	75	1871
39	77	1868
40	79	1870
41	81	1868
42	83	1865
43	85	1858
44	87	1857
45	89	1855
46	91	1852
47	93	1848
48	95	1849
49	97	1853
50	99	1851
51	101	1852
52	103	1858
53	106	1859
54	114	1971
55	117	1978
56	119	1985
57	122	1984
58	125	2000
59	129	2029
60	133	2048
61	135	2046
62	137	2048
63	140	2060
64	143	2070
65	147	2087
66	151	2111
67	155	2133
68	158	2142
69	162	2154
70	164	2156
71	168	2172
72	171	2175
73	174	2189
74	177	2191
75	179	2184
76	181	2176
77	183	2167
78	185	2167
79	187	2160
80	190	2156
81	192	2153
82	194	2148
83	196	2140
84	198	2132
85	200	2131
86	202	2127
87	206	2144
88	210	2151
89	213	2156
90	215	2153
91	217	2146
92	219	2140
93	221	2135
94	224	2137
95	226	2132
96	228	2129
97	231	2128
98	233	2125
99	235	2118
100	237	2114
101	239	2109
102	241	2102
103	244	2104
104	246	2101
105	248	2096
106	250	2090
107	252	2087
108	255	2087
109	257	2085
110	260	2086
111	262	2083
112	264	2076
113	266	2068
114	268	2062
115	270	2059
116	271	2052
117	274	2050
118	276	2046
119	278	2039
120	279	2033
121	281	2026
122	283	2021
123	286	2021
124	288	2017
125	290	2016
126	292	2010
127	294	2004
128	295	1996
129	297	1989
130	299	1984
131	301	1982
132	303	1977
133	305	1973
134	308	1975
135	310	1972
136	312	1968
137	314	1965
138	317	1966
139	319	1963
140	322	1964
141	324	1960
142	326	1956
143	328	1953
144	330	1949
145	333	1948
146	335	1947
147	338	1949
148	341	1947
149	343	1944
150	345	1941
151	347	1940
152	349	1937
153	352	1934
154	354	1932
155	356	1929
156	358	1924
157	360	1920
158	362	1917
159	364	1912
160	366	1908
161	367	1903
162	369	1898
163	371	1893
164	373	1888
165	374	1883
166	376	1879
167	378	1876
168	380	1871
169	382	1868
170	384	1865
171	387	1863
172	388	1859
173	390	1855
174	392	1852
175	395	1850
176	397	1847
177	399	1844
178	401	1842
179	404	1841
180	406	1838
181	408	1836
182	411	1835
183	413	1833
184	415	1831
185	417	1827
186	419	1824
187	421	1821
188	424	1821
189	426	1820
190	429	1818
191	431	1815
192	433	1812
193	435	1811
194	437	1807
195	440	1805
196	442	1803
197	444	1800
198	447	1799
199	449	1796
200	451	1794
201	453	1792
202	456	1792
203	458	1790
204	460	1786
205	462	1782
206	464	1778
207	466	1774
208	467	1769
209	469	1765
210	471	1763
211	473	1760
212	475	1757
213	477	1753
214	479	1749
215	481	1746
216	482	1742
217	484	1739
218	487	1737
219	489	1735
220	491	1731
221	493	1729
222	495	1726
223	497	1723
224	499	1721
225	501	1718
226	504	1716
227	506	1714
228	508	1712
229	510	1710
230	515	1717
231	535	1774
232	538	1774
233	541	1773
234	545	1774
235	548	1774
236	550	1771
237	554	1776
238	557	1773
239	559	1771
240	561	1768
241	564	1766
242	566	1763
243	574	1779
244	576	1777
245	580	1779
246	585	1785
247	588	1783
248	591	1784
249	594	1784
250	597	1784
251	601	1785
252	604	1785
253	607	1784
254	610	1783
255	613	1782
256	618	1787
257	620	1785
258	623	1784
259	626	1782
260	629	1781
261	632	1782
262	634	1778
263	637	1777
264	639	1774
265	641	1771
266	644	1767
267	646	1765
268	648	1762
269	650	1759
270	653	1757
271	655	1754
272	657	1750
273	659	1747
274	662	1745
275	666	1747
276	670	1748
277	672	1747
278	674	1744
279	677	1742
280	679	1739
281	682	1736
282	684	1733
283	685	1729
284	688	1726
285	690	1723
286	692	1721
287	695	1719
288	697	1715
289	699	1712
290	701	1709
291	703	1705
292	705	1701
293	706	1697
